Nb_Jobs ID NB_Particules Cout_Ref Cout_Solution Temps
70 2 20 200186 191876 600.856
70 3 20 178024 169531 602.022
70 4 20 205790 192621 600.57
70 5 20 227751 217255 600.113
70 6 20 212359 169440 601.225
70 7 20 233920 198254 603.34
70 8 20 211746 205334 602.962
70 9 20 244745 236061 601.388
70 10 20 173505 159438 601.823
70 11 20 287374 268517 601.181
70 12 20 263536 250963 602.149
70 13 20 220127 214574 601.427
70 14 20 267025 256918 601.415
70 15 20 212752 204329 602.584
70 16 20 242683 218906 602.646
70 17 20 237502 229679 603.42
70 18 20 223796 210114 603.623
70 19 20 185087 152937 600.351
80 0 20 274517 256904 603.609
80 1 20 221999 207474 602.393
80 2 20 180873 163266 604.631
80 3 20 296858 272637 603.707
80 4 20 332007 278418 600.314
80 5 20 252939 238667 603.62
80 6 20 208830 199575 602.939
80 7 20 255223 246099 603.204
80 8 20 270300 251746 603.512
80 9 20 306214 287879 601.487
80 10 20 209383 201964 603.646
80 11 20 277833 262988 600.684
80 12 20 261286 246241 603.982
80 13 20 227491 208316 602.624
80 14 20 293894 276292 601.22
80 15 20 165670 161837 603.136
80 16 20 258273 240656 600.144
80 17 20 298719 291172 603.497
80 18 20 216847 207585 602.541
80 19 20 231989 208722 601.885
90 0 20 255943 240900 600.381
90 1 20 290843 241774 600.741
90 2 20 222633 211899 602.784
90 3 20 277701 268658 605.861
90 4 20 265664 254976 602.296
90 5 20 289089 263440 602.406
90 6 20 302539 283906 606.912
90 7 20 239536 230050 607.378
90 8 20 216173 189862 602.609
90 9 20 351861 330399 604.908
90 10 20 252304 234007 606.841
90 11 20 239822 231010 604.067
90 12 20 242986 234903 604.597
90 13 20 309182 291549 600.708
90 14 20 329982 298221 604.278
90 15 20 216551 197017 601.438
90 16 20 383054 368775 601.229
90 17 20 203691 198841 601.546
90 18 20 238372 219998 602.617
90 19 20 272635 251702 600.931
100 0 20 374906 351030 607.822
100 1 20 306563 294527 608.504
100 2 20 308231 299975 608.394
100 3 20 329624 300439 602.813
100 4 20 313924 305168 604.968
100 5 20 345835 334858 604.702
100 6 20 274526 258838 603.259
100 7 20 254152 243858 608.57
100 8 20 312525 298921 602.191
100 9 20 286588 264308 600.48
100 10 20 358525 343365 604.732
100 11 20 240394 220905 605.562
100 12 20 364558 351865 601.517
100 13 20 286796 275179 609.06
100 14 20 299100 278316 606.313
100 15 20 333232 318379 608.078
100 16 20 363330 338768 601.463
100 17 20 334749 296150 603.938
100 18 20 442579 412194 609.795
100 19 20 336375 307742 605.619
